Sentence #	Word	POS	Tag
2	as	IN	O
2	a	DT	O
2	sole	NN	O
2	carbon	NN	O
2	and	CC	O
2	energy	NN	O
2	source	NN	O
2	.	.	O
2	'	''	O
3	PAR	NN	B-ENZ
3	hydrolase	NN	I-ENZ
3	an	DT	O
3	enzyme	NN	O
3	produced	VBN	O
3	by	IN	O
3	an	DT	O
3	isolate	NN	O
3	from	IN	O
3	the	DT	O
3	mixed	JJ	O
3	culture	NN	O
3	rapidly	RB	O
3	hydrolyzed	VBN	O
3	par	NN	O
3	and	CC	O
3	paraoxon	NN	O
3	(	(	O
3	6	CD	O
3	mumol/mg	NN	O
3	per	IN	O
3	min	NN	O
3	)	)	O
3	.	.	O
3	'	''	O
4	the	DT	O
4	ezyme	NN	O
4	decarboxylase	NN	I-ENZ
4	catalyzing	VBG	O
4	the	DT	O
4	conversion	NN	O
4	of	IN	O
4	to	TO	O
4	protocatechuate	NN	O
4	and	CC	O
4	carbon	NN	O
4	dioxide	NN	O
4	was	VBD	O
4	purified	VBN	O
4	approximately	RB	O
4	130-fold	JJ	O
4	from	IN	O
4	phthalate-induced	JJ	O
4	cells	NNS	O
4	of	IN	O
4	a	DT	O
4	protocatechuate	NN	O
4	mutant	NN	O
4	of	IN	O
4	p	NN	O
4	.	.	O
4	testosteroni	NN	O
4	.	.	O
4	'	''	O
5	formation	NN	O
5	of	IN	O
5	the	DT	O
5	cis	NN	O
5	dihydrodiol	NN	O
5	is	VBZ	O
5	catalyzed	VBN	O
5	by	IN	O
5	a	DT	O
5	dioxygenase	NN	B-ENZ
5	which	WDT	O
5	requires	VBZ	O
5	either	DT	O
5	nadh	NN	O
5	or	CC	O
5	nadph	NN	O
5	as	IN	O
5	an	DT	O
5	electron	NN	O
5	donor	NN	O
5	.	.	O
5	'	''	O
6	the	DT	O
6	cis	NN	O
6	dihydrodiol	NN	O
6	is	VBZ	O
6	converted	VBN	O
6	to	TO	O
6	by	IN	O
6	an	DT	O
6	NAD+-dependent	NN	B-ENZ
6	dehydrogenase	NN	I-ENZ
6	.	.	O
6	'	''	O
7	two	CD	O
7	species	NNS	O
7	which	WDT	O
7	utilize	VB	O
7	c10	NN	O
7	acyclic	NN	O
7	isoprenoids	NNS	O
7	p.	NN	O
7	aeruginosa	NN	O
7	and	CC	O
7	p.	NN	O
7	mendocina	NN	O
7	were	VBD	O
7	shown	VBN	O
7	to	TO	O
7	contain	NN	O
7	the	DT	O
7	inducible	JJ	O
7	enzyme	NN	O
7	geranyl-coenzyme	NN	B-ENZ
7	A	DT	I-ENZ
7	carboxylase	NN	I-ENZ
7	one	CD	O
7	of	IN	O
7	the	DT	O
7	unique	NN	O
7	enzymes	NNS	O
7	in	IN	O
7	the	DT	O
7	isoprenol	NN	O
7	degradative	NN	O
7	pathway	NN	O
7	known	VBN	O
7	to	TO	O
7	occur	NN	O
7	in	IN	O
7	p	NN	O
7	.	.	O
7	citronellolis	NN	O
7	.	.	O
7	'	''	O
8	of	IN	O
8	the	DT	O
8	species	NNS	O
8	which	WDT	O
8	utilized	JJ	O
8	geranitol	NN	O
8	none	NN	O
8	showed	VBD	O
8	definite	NN	O
8	growth	NN	O
8	on	IN	O
8	the	DT	O
8	homologous	JJ	O
8	c15	NN	O
8	and	CC	O
8	c20	NN	O
8	isoprenols.a	NN	O
8	ketone	NN	B-ENZ
8	monooxygenase	NN	I-ENZ
8	was	VBD	O
8	purified	VBN	O
8	from	IN	O
8	cells	NNS	O
8	of	IN	O
8	pseudomonas	NNS	O
8	cepacia	NN	O
8	grown	NN	O
8	on	IN	O
8	2-tridecanone	CD	O
8	as	IN	O
8	sole	NN	O
8	carbon	NN	O
8	source	NN	O
8	.	.	O
8	'	''	O
9	the	DT	O
9	monooxygenase	NN	B-ENZ
9	purified	VBN	O
9	to	TO	O
9	homogeneity	NN	O
9	has	VBZ	O
9	a	DT	O
9	molecular	NN	O
9	weight	NN	O
9	of	IN	O
9	approximately	RB	O
9	and	CC	O
9	consists	NNS	O
9	of	IN	O
9	two	CD	O
9	equal	JJ	O
9	subunits	NNS	O
9	with	IN	O
9	molecular	NN	O
9	weights	NNS	O
9	of	IN	O
9	.	.	O
9	'	''	O
10	the	DT	O
10	oxygenase	NN	B-ENZ
10	is	VBZ	O
10	also	RB	O
10	active	JJ	O
10	on	IN	O
10	isomers	NNS	O
10	of	IN	O
10	2-tridecanone	CD	O
10	forming	VBG	O
10	esters	NNS	O
10	from	IN	O
10	-3	JJ	O
10	through	IN	O
10	7-tridecanone	CD	O
10	.	.	O
10	'	''	O
11	3	CD	O
11	5-xylenol-grown	JJ	O
11	cells	NNS	O
11	contained	VBN	O
11	high	JJ	O
11	levels	NNS	O
11	of	IN	O
11	gentisate	NN	B-ENZ
11	oxygenase	NN	I-ENZ
11	and	CC	O
11	only	RB	O
11	very	RB	O
11	small	JJ	O
11	amounts	NNS	O
11	of	IN	O
11	catechol	NN	B-ENZ
11	oxygenase	NN	I-ENZ
11	whereas	NNS	O
11	gentisate	NN	O
11	ocygenase	NN	O
11	could	MD	O
11	not	RB	O
11	be	VB	O
11	detected	VBN	O
11	in	IN	O
11	m-cresol-grown	JJ	O
11	cells	NNS	O
11	but	CC	O
11	levels	NNS	O
11	of	IN	O
11	catechol	NN	B-ENZ
11	oxygenase	NN	I-ENZ
11	were	VBD	O
11	greatly	RB	O
11	increased	VBN	O
11	.	.	O
11	'	''	O
12	extracts	NNS	O
12	of	IN	O
12	m-cresol-grown	JJ	O
12	cells	NNS	O
12	also	RB	O
12	contained	VBN	O
12	2-hydroxymuconic	JJ	B-ENZ
12	semialdehyde	NN	I-ENZ
12	dehydrogenase	NN	I-ENZ
12	and	CC	O
12	hydrolase	NN	O
12	whose	WP$	O
12	specificities	NNS	O
12	enable	JJ	O
12	them	PRP	O
12	to	TO	O
12	metabolize	NN	O
12	the	DT	O
12	ring-fission	NN	O
12	products	NNS	O
12	from	IN	O
12	catechol	NN	O
12	3-methylcatechol	JJ	O
12	and	CC	O
12	4-methylcatechol	JJ	O
12	.	.	O
12	'	''	O
13	extracts	NNS	O
13	of	IN	O
13	these	DT	O
13	cells	NNS	O
13	contained	VBN	O
13	high	JJ	O
13	levels	NNS	O
13	of	IN	O
13	protocatechuate	NN	O
13	oxygenase	NN	B-ENZ
13	and	CC	O
13	only	RB	O
13	small	JJ	O
13	amounts	NNS	O
13	of	IN	O
13	catechol	NN	O
13	oxygenase.in	NN	O
13	studying	VBG	O
13	the	DT	O
13	transformation	NN	O
13	of	IN	O
13	diazepam	NN	O
13	(	(	O
13	)	)	O
13	by	IN	O
13	fungi	NNS	O
13	isolated	JJ	O
13	from	IN	O
13	soil	NN	O
13	.	.	O
13	'	''	O
14	Orcinol	NN	B-ENZ
14	hydroxylase	NN	I-ENZ
14	exhibits	NNS	O
14	catalytic	JJ	O
14	activity	NN	O
14	when	WRB	O
14	resorcinol	NN	O
14	or	CC	O
14	m-cresol	NN	O
14	is	VBZ	O
14	substituted	VBN	O
14	for	IN	O
14	orcinol	NN	O
14	;	:	O
14	hydroxyquinol	NN	O
14	and	CC	O
14	3-methylcatechol	JJ	O
14	are	VBP	O
14	substrates	NNS	O
14	for	IN	O
14	the	DT	O
14	ring	NN	O
14	cleavage	NN	O
14	enzyme	NN	O
14	.	.	O
14	'	''	O
15	some	DT	O
15	properties	NNS	O
15	of	IN	O
15	the	DT	O
15	unusual	JJ	O
15	prosthetic	JJ	O
15	group	NN	O
15	of	IN	O
15	trimethylamine	NN	O
15	dehydrogenase	NN	O
15	and	CC	O
15	its	PRP$	O
15	photodegradation	NN	O
15	product	NN	O
15	are	VBP	O
15	described	NN	O
15	in	IN	O
15	preliminary	JJ	O
15	form.the	NN	O
15	xylene	NN	B-ENZ
15	monooxygenase	NN	I-ENZ
15	system	NN	O
15	encoded	VBN	O
15	by	IN	O
15	the	DT	O
15	tol	NN	O
15	plasmid	NN	O
15	pww0	NN	O
15	of	IN	O
15	pseudomonas	NNS	O
15	putida	NN	O
15	catalyses	NNS	O
15	the	DT	O
15	hydroxylation	NN	O
15	of	IN	O
15	a	DT	O
15	methyl	NN	O
15	side-chain	NN	O
15	of	IN	O
15	toluene	NN	O
15	and	CC	O
15	xylenes	NNS	O
15	.	.	O
15	'	''	O
16	genetic	JJ	O
16	studies	NNS	O
16	have	VB	O
16	suggested	VBN	O
16	that	IN	O
16	this	DT	O
16	monooxygenase	NN	B-ENZ
16	consists	NNS	O
16	of	IN	O
16	two	CD	O
16	different	JJ	O
16	proteins	NNS	O
16	products	NNS	O
16	of	IN	O
16	the	DT	O
16	xylA	NN	B-GENE
16	and	CC	O
16	xylM	NN	B-GENE
16	genes	NNS	O
16	which	WDT	O
16	function	NN	O
16	as	IN	O
16	an	DT	O
16	electron-transfer	NN	O
16	protein	NN	O
16	and	CC	O
16	a	DT	O
16	terminal	NN	O
16	hydroxylase	NN	O
16	respectively	RB	O
16	.	.	O
16	'	''	O
17	in	IN	O
17	this	DT	O
17	study	NN	O
17	the	DT	O
17	electron-transfer	NN	O
17	component	NN	O
17	of	IN	O
17	xylene	NN	B-ENZ
17	monooxygenase	NN	I-ENZ
17	the	DT	O
17	product	NN	O
17	of	IN	O
17	xylA	NN	B-GENE
17	was	VBD	O
17	purified	VBN	O
17	to	TO	O
17	homogeneity	NN	O
17	.	.	O
17	'	''	O
18	fractions	NNS	O
18	containing	VBG	O
18	the	DT	O
18	xylA	NN	B-GENE
18	gene	NN	O
18	product	NN	O
18	were	VBD	O
18	identified	VBN	O
18	by	IN	O
18	its	PRP$	O
18	nadh	NN	O
18	:	:	O
18	cytochrome	NN	O
18	c	NNS	O
18	reductase	NN	O
18	activity	NN	O
18	.	.	O
18	'	''	O
19	both	DT	O
19	dehalogenases	NNS	O
19	were	VBD	O
19	purified	VBN	O
19	to	TO	O
19	homogeneity	NN	O
19	from	IN	O
19	cells	NNS	O
19	induced	JJ	O
19	for	IN	O
19	dehalogenase	NN	B-ENZ
19	synthesis	NN	O
19	with	IN	O
19	3-chlorocrotonic	JJ	O
19	acid	NN	O
19	.	.	O
19	'	''	O
20	the	DT	O
20	cis-3-chloroacrylic	JJ	O
20	acid	NN	O
20	dehalogenase	NN	B-ENZ
20	consisted	VBN	O
20	of	IN	O
20	two	CD	O
20	polypeptide	NN	O
20	chains	NNS	O
20	of	IN	O
20	a	DT	O
20	molecular	NN	O
20	weight	NN	O
20	16.2	CD	O
20	kda	NN	O
20	.	.	O
20	'	''	O
21	trans-3-chloroacrylic	JJ	O
21	acid	NN	O
21	dehalogenase	NN	B-ENZ
21	was	VBD	O
21	a	DT	O
21	protein	NN	O
21	with	IN	O
21	subunits	NNS	O
21	of	IN	O
21	7.4	CD	O
21	and	CC	O
21	8.7	CD	O
21	kda	NN	O
21	.	.	O
21	'	''	O
22	2-chlorobenzoate	JJ	O
22	3-chlorobenzoate	JJ	O
22	and	CC	O
22	2		
22	and	CC	O
22	inhibited	VBN	O
22	growth	NN	O
22	of	IN	O
22	mb2	NN	O
22	on	IN	O
22	2-methylbenzoate	JJ	O
22	as	IN	O
22	a	DT	O
22	result	NN	O
22	of	IN	O
22	cometabolism	NN	O
22	to	TO	O
22	the	DT	O
22	corresponding	VBG	O
22	chlorinated	VBN	O
22	catechols	NNS	O
22	which	WDT	O
22	blocked	VBN	O
22	the	DT	O
22	key	NN	O
22	enzyme	NN	O
22	catechol	NN	B-ENZ
22	.	.	O
22	'	''	O
23	nitration	NN	O
23	was	VBD	O
23	not	RB	O
23	mediated	VBN	O
23	by	IN	O
23	a	DT	O
23	free	JJ	O
23	radical	JJ	O
23	mechanism	NN	O
23	because	IN	O
23	hydroxyl	NN	O
23	radical	JJ	O
23	scavengers	NNS	O
23	did	VBD	O
23	not	RB	O
23	reduce	VB	O
23	either	DT	O
23	superoxide	NN	B-ENZ
23	dismutase	NN	I-ENZ
23	or	CC	O
23	fe3+edta-catalyzed	JJ	O
23	nitration	NN	O
23	and	CC	O
23	nitrogen	NN	O
23	dioxide	NN	O
23	was	VBD	O
23	not	RB	O
23	a	DT	O
23	significant	JJ	O
23	product	NN	O
23	from	IN	O
23	either	DT	O
23	catalyst	NN	O
23	.	.	O
23	'	''	O
24	the	DT	O
24	reaction	NN	O
24	rate	NN	O
24	of	IN	O
24	peroxynitrite	NN	O
24	with	IN	O
24	bovine	NN	O
24	cu	NN	O
24	zn	NN	O
24	superoxide	NN	B-ENZ
24	dismutase	NN	I-ENZ
24	was	VBD	O
24	10	CD	O
24	(	(	O
24	5	CD	O
24	)	)	O
24	m-1.s-1	NN	O
24	at	IN	O
24	low	JJ	O
24	superoxide	NN	B-ENZ
24	dismutase	NN	I-ENZ
24	concentrations	NNS	O
24	but	CC	O
24	the	DT	O
24	rate	NN	O
24	of	IN	O
24	nitration	NN	O
24	became	VBD	O
24	independent	JJ	O
24	of	IN	O
24	superoxide	NN	B-ENZ
24	dismutase	NN	I-ENZ
24	concentration	NN	O
24	above	IN	O
24	10	CD	O
24	microm	NN	O
24	with	IN	O
24	only	RB	O
24	9	CD	O
24	%	NN	O
24	of	IN	O
24	added	VBD	O
24	peroxynitrite	NN	O
24	yielding	VBG	O
24	nitrophenol	NN	O
24	.	.	O
24	'	''	O
25	we	PRP	O
25	propose	NN	O
25	that	IN	O
25	peroxynitrite	NN	O
25	anion	NN	O
25	is	VBZ	O
25	more	RBR	O
25	stable	JJ	O
25	in	IN	O
25	the	DT	O
25	cis	NN	O
25	conformation	NN	O
25	whereas	NNS	O
25	only	RB	O
25	a	DT	O
25	higher	JJR	O
25	energy	NN	O
25	species	NNS	O
25	in	IN	O
25	the	DT	O
25	trans	NNS	O
25	conformation	NN	O
25	can	MD	O
25	fit	NN	O
25	in	IN	O
25	the	DT	O
25	active	JJ	O
25	site	NN	O
25	of	IN	O
25	cu	NN	O
25	zn	NN	O
25	superoxide	NN	B-ENZ
25	dismutase	NN	I-ENZ
25	.	.	O
25	'	''	O
26	at	IN	O
26	high	JJ	O
26	superoxide	NN	B-ENZ
26	dismutase	NN	I-ENZ
26	concentrations	NNS	O
26	phenolic	NN	O
26	nitration	NN	O
26	may	MD	O
26	be	VB	O
26	limited	JJ	O
26	by	IN	O
26	the	DT	O
26	rate	NN	O
26	of	IN	O
26	isomerization	NN	O
26	from	IN	O
26	the	DT	O
26	cis	NN	O
26	to	TO	O
26	trans	NNS	O
26	conformations	NNS	O
26	of	IN	O
26	peroxynitrite	NN	O
26	as	IN	O
26	well	RB	O
26	as	IN	O
26	by	IN	O
26	competing	VBG	O
26	pathways	NNS	O
26	for	IN	O
26	peroxynitrite	NN	O
26	decomposition	NN	O
26	.	.	O
26	'	''	O
27	southern	JJ	O
27	blot	NN	O
27	analysis	NN	O
27	revealed	VBD	O
27	the	DT	O
27	presence	NN	O
27	of	IN	O
27	phenol	NN	O
27	hydroxylase	NN	O
27	gene-related	JJ	O
27	sequences	NNS	O
27	in	IN	O
27	a	DT	O
27	number	NN	O
27	of	IN	O
27	t.	NN	O
27	cutaneum	NN	O
27	and	CC	O
27	trichosporon	NN	O
27	beigelii	NN	O
27	strains	NNS	O
27	and	CC	O
27	in	IN	O
27	cryptococcus	NN	O
27	elinovii	NN	O
27	but	CC	O
27	not	RB	O
27	in	IN	O
27	trichosporon	NN	O
27	pullulans	NNS	O
27	trichosporon	NN	O
27	penicillatum	NN	O
27	or	CC	O
27	candida	NN	O
27	tropicalis.oxidation	NN	O
27	of	IN	O
27	benzocyclobutene	NN	O
27	by	IN	O
27	intact	JJ	O
27	cells	NNS	O
27	of	IN	O
27	pseudomonas	NNS	O
27	fluorescens	NNS	O
27	127-68	JJ	O
27	xvii	NN	O
27	containing	VBG	O
27	naphthalene	NN	B-ENZ
27	dioxygenase	NN	I-ENZ
27	yielded	VBN	O
27	exclusively	RB	O
27	benzylic	NN	O
27	oxidation	NN	O
27	products	NNS	O
27	;	:	O
27	benzocyclobutene-1-ol	NN	O
27	and	CC	O
27	benzocyclobutene-1-one	NN	O
27	.	.	O
27	'	''	O
28	the	DT	O
28	initial	JJ	O
28	hexadecyltrimethylammonium	NN	B-ENZ
28	chloride	NN	I-ENZ
28	oxygenase	NN	I-ENZ
28	activity	NN	O
28	measured	VBN	O
28	by	IN	O
28	its	PRP$	O
28	ability	NN	O
28	to	TO	O
28	form	NN	O
28	trimethylamine	NN	O
28	was	VBD	O
28	nad	NN	O
28	(	(	O
28	p	NN	O
28	)	)	O
28	h	NN	O
28	and	CC	O
28	o2	NN	O
28	dependent	NN	O
28	.	.	O
28	'	''	O
29	finally	RB	O
29	assays	NNS	O
29	of	IN	O
29	aldehyde	NN	B-ENZ
29	dehydrogenase	NN	I-ENZ
29	hexadecanoyl-coenzyme	NN	B-ENZ
29	A	DT	I-ENZ
29	dehydrogenase	NN	I-ENZ
29	and	CC	O
29	isocitrate	NN	B-ENZ
29	lyase	NN	I-ENZ
29	in	IN	O
29	cell	NN	O
29	extracts	NNS	O
29	revealed	VBD	O
29	the	DT	O
29	potential	JJ	O
29	of	IN	O
29	pseudomonas	NNS	O
29	strain	NN	O
29	b1	NN	O
29	to	TO	O
29	metabolize	NN	O
29	the	DT	O
29	alkyl	NN	O
29	chain	NN	O
29	via	IN	O
29	beta-oxidation.the	NN	O
29	reactions	NNS	O
29	involved	VBN	O
29	in	IN	O
29	the	DT	O
29	bacterial	NN	O
29	metabolism	NN	O
29	of	IN	O
29	naphthalene	NN	O
29	to	TO	O
29	salicylate	NN	O
29	have	VB	O
29	been	VBN	O
29	reinvestigated	VBN	O
29	by	IN	O
29	using	VBG	O
29	recombinant	NN	O
29	bacteria	NNS	O
29	carrying	VBG	O
29	genes	NNS	O
29	cloned	VBN	O
29	from	IN	O
29	plasmid	NN	O
29	NAH7	NN	B-GENE
29	.	.	O
29	'	''	O
30	thbpa	NN	O
30	is	VBZ	O
30	also	RB	O
30	formed	VBN	O
30	from	IN	O
30	hcca	NN	O
30	by	IN	O
30	the	DT	O
30	action	NN	O
30	of	IN	O
30	an	DT	O
30	isomerase	NN	O
30	enzyme	NN	O
30	encoded	VBN	O
30	by	IN	O
30	plasmid	NN	O
30	NAH7	NN	B-GENE
30	.	.	O
30	'	''	O
31	the	DT	O
31	gene	NN	O
31	encoding	VBG	O
31	this	DT	O
31	enzyme	NN	O
31	nahD	NN	B-GENE
31	was	VBD	O
31	cloned	VBN	O
31	on	IN	O
31	a	DT	O
31	1.95-kb	JJ	O
31	kpni-bglii	NNP	O
31	fragment	NN	O
31	.	.	O
31	'	''	O
32	the	DT	O
32	salicylaldehyde	NN	B-ENZ
32	dehydrogenase	NN	I-ENZ
32	gene	NN	O
32	nahF	NN	B-GENE
32	was	VBD	O
32	cloned	VBN	O
32	on	IN	O
32	a	DT	O
32	2.75-kb	JJ	O
32	bamhi	NN	O
32	fragment	NN	O
32	which	WDT	O
32	also	RB	O
32	carries	VBZ	O
32	the	DT	O
32	naphthalene	NN	B-ENZ
32	dihydrodiol	NN	I-ENZ
32	dehydrogenase	NN	I-ENZ
32	gene	NN	O
32	nahB	NN	B-GENE
32	.	.	O
32	'	''	O
33	enzyme	NN	O
33	ia	NN	O
33	seemed	VBD	O
33	to	TO	O
33	be	VB	O
33	halohydrin	NN	B-ENZ
33	hydrogen-halide-lyase	NN	I-ENZ
33	which	WDT	O
33	was	VBD	O
33	already	RB	O
33	purified	VBN	O
33	from	IN	O
33	escherichia	NN	O
33	coli	NNS	O
33	carrying	VBG	O
33	a	DT	O
33	gene	NN	O
33	from	IN	O
33	corynebacterium	NN	O
33	sp	NN	O
33	.	.	O
33	'	''	O
34	no	DT	O
34	mutagenicity	NN	O
34	was	VBD	O
34	observed	VBN	O
34	in	IN	O
34	our	PRP$	O
34	experiment.the	NN	O
34	alkBFGHJKL	NN	B-GENE
34	and	CC	O
34	alkST	NN	B-GENE
34	operons	NNS	O
34	encode	NN	O
34	enzymes	NNS	O
34	that	IN	O
34	allow	VB	O
34	pseudomonas	NNS	O
34	putida	NN	O
34	(	(	O
34	oleovorans	NNS	O
34	)	)	O
34	to	TO	O
34	metabolize	NN	O
34	alkanes	NNS	O
34	.	.	O
34	'	''	O
35	in	IN	O
35	this	DT	O
35	paper	NN	O
35	we	PRP	O
35	report	NN	O
35	the	DT	O
35	nucleotide	RB	O
35	sequence	NN	O
35	of	IN	O
35	a	DT	O
35	4592	CD	O
35	bp	NN	O
35	region	NN	O
35	of	IN	O
35	the	DT	O
35	alkBFGHJKL	NN	B-GENE
35	operon	NN	O
35	encoding	VBG	O
35	the	DT	O
35	AlkJ	NN	B-GENE
35	AlkK	NN	B-GENE
35	and	CC	O
35	AlkL	NN	B-GENE
35	polypeptides	NNS	O
35	.	.	O
35	'	''	O
36	the	DT	O
36	predicted	VBN	O
36	amino	NN	O
36	acid	NN	O
36	sequence	NN	O
36	shows	NNS	O
36	significant	JJ	O
36	homology	NN	O
36	with	IN	O
36	four	CD	O
36	flavin	NN	O
36	proteins	NNS	O
36	:	:	O
36	choline	NN	B-ENZ
36	dehydrogenase	NN	I-ENZ
36	a	DT	O
36	glucose	NN	B-ENZ
36	dehydrogenase	NN	I-ENZ
36	and	CC	O
36	two	CD	O
36	oxidases	NNS	O
36	.	.	O
36	'	''	O
37	AlkJ	NN	B-GENE
37	is	VBZ	O
37	membrane-bound	NN	O
37	and	CC	O
37	converts	NNS	O
37	aliphatic	JJ	O
37	medium-chain-length	NN	O
37	alcohols	NNS	O
37	into	IN	O
37	aldehydes	NNS	O
37	.	.	O
37	'	''	O
38	the	DT	O
38	properties	NNS	O
38	of	IN	O
38	AlkJ	NN	B-GENE
38	suggest	NN	O
38	that	IN	O
38	it	PRP	O
38	is	VBZ	O
38	linked	VBN	O
38	to	TO	O
38	the	DT	O
38	electron	NN	O
38	transfer	NN	O
38	chain	NN	O
38	.	.	O
38	'	''	O
39	AlkJ	NN	B-GENE
39	is	VBZ	O
39	necessary	JJ	O
39	for	IN	O
39	growth	NN	O
39	on	IN	O
39	alkanes	NNS	O
39	only	RB	O
39	in	IN	O
39	p.	NN	O
39	putida	NN	O
39	alcohol	NN	B-ENZ
39	dehydrogenase	NN	I-ENZ
39	(	(	O
39	AlcA	NN	B-GENE
39	)	)	O
39	mutants	NNS	O
39	.	.	O
39	'	''	O
40	AlkK	NN	B-GENE
40	is	VBZ	O
40	homologous	JJ	O
40	to	TO	O
40	a	DT	O
40	range	NN	O
40	of	IN	O
40	proteins	NNS	O
40	which	WDT	O
40	act	NN	O
40	by	IN	O
40	an	DT	O
40	atp-dependent	JJ	O
40	covalent	NN	O
40	binding	NN	O
40	of	IN	O
40	amp	NN	O
40	to	TO	O
40	their	PRP$	O
40	substrate	NN	O
40	.	.	O
40	'	''	O
41	the	DT	O
41	alkk	NN	O
41	gene	NN	O
41	complements	NNS	O
41	a	DT	O
41	fadd	NN	O
41	mutation	NN	O
41	in	IN	O
41	escherichia	NN	O
41	coli	NNS	O
41	which	WDT	O
41	shows	NNS	O
41	that	IN	O
41	it	PRP	O
41	indeed	RB	O
41	encodes	NNS	O
41	an	DT	O
41	acyl-CoA	NN	B-ENZ
41	synthetase	NN	I-ENZ
41	.	.	O
41	'	''	O
42	AlkK	NN	B-GENE
42	is	VBZ	O
42	a	DT	O
42	60	CD	O
42	kilodalton	NN	O
42	protein	NN	O
42	located	VBN	O
42	in	IN	O
42	the	DT	O
42	cytoplasm	NN	O
42	.	.	O
42	'	''	O
43	AlkL	NN	B-GENE
43	is	VBZ	O
43	homologous	JJ	O
43	to	TO	O
43	ompw	NN	O
43	a	DT	O
43	vibrio	NN	O
43	cholerae	NN	O
43	outer	NN	O
43	membrane	NN	O
43	protein	NN	O
43	of	IN	O
43	unknown	JJ	O
43	function	NN	O
43	and	CC	O
43	a	DT	O
43	hypothetical	JJ	O
43	polypeptide	NN	O
43	encoded	VBN	O
43	by	IN	O
43	ytt4	NN	O
43	in	IN	O
43	e	NN	O
43	.	.	O
43	coli	NNS	O
43	.	.	O
43	'	''	O
44	AlkL	NN	B-GENE
44	ompw	NN	O
44	and	CC	O
44	ytt4	NN	O
44	all	DT	O
44	have	VB	O
44	a	DT	O
44	signal	NN	O
44	peptide	NN	O
44	and	CC	O
44	end	NN	O
44	with	IN	O
44	a	DT	O
44	sequence	NN	O
44	characteristic	JJ	O
44	of	IN	O
44	outer	NN	O
44	membrane	NN	O
44	proteins	NNS	O
44	.	.	O
44	'	''	O
45	formation	NN	O
45	of	IN	O
45	1-hydroxy-4-oxahomoadamantan-5-one	CD	O
45	appears	VBZ	O
45	to	TO	O
45	occur	NN	O
45	by	IN	O
45	two	CD	O
45	routes	NNS	O
45	determined	VBN	O
45	by	IN	O
45	the	DT	O
45	sequence	NN	O
45	of	IN	O
45	lactonization	NN	O
45	and	CC	O
45	hydroxylation.trichloroethylene	NN	O
45	(	(	O
45	tce	NN	O
45	)	)	O
45	was	VBD	O
45	reductively	RB	O
45	dechlorinated	VBN	O
45	to	TO	O
45	cis-dichloroethylene	NN	O
45	trans-dichloroethylene	NN	O
45	vinyl	NN	O
45	chloride	NN	O
45	and	CC	O
45	ethylene	NN	O
45	by	IN	O
45	the	DT	O
45	CO-reduced	JJ	B-ENZ
45	CO	NN	I-ENZ
45	dehydrogenase	NN	I-ENZ
45	enzyme	NN	O
45	complex	JJ	O
45	from	IN	O
